"age","city","population"
"0","Busan","5200.0"
"5","Busan","3100.0"
"10","Busan","2600.0"
"15","Busan","9000.0"
"20","Busan","38500.0"
"25","Busan","38900.0"
"30","Busan","26000.0"
"35","Busan","15200.0"
"40","Busan","8700.0"
"45","Busan","6800.0"
"50","Busan","6300.0"
"55","Busan","5800.0"
"60","Busan","5100.0"
"65","Busan","4200.0"
"70","Busan","3400.0"
"75","Busan","2200.0"
"80","Busan","1300.0"
"85","Busan","900.0"
"0","Seoul","9300.0"
"5","Seoul","5100.0"
"10","Seoul","3800.0"
"15","Seoul","7600.0"
"20","Seoul","32000.0"
"25","Seoul","45800.0"
"30","Seoul","38300.0"
"35","Seoul","25200.0"
"40","Seoul","15800.0"
"45","Seoul","12800.0"
"50","Seoul","11000.0"
"55","Seoul","10900.0"
"60","Seoul","10400.0"
"65","Seoul","9100.0"
"70","Seoul","7500.0"
"75","Seoul","6400.0"
"80","Seoul","3900.0"
"85","Seoul","2600.0"
