"country","continent","year","life","population","gdp"
"China","Asia","1952","44.0","556263527","400.448611"
"China","Asia","1957","50.54896","637408000","575.9870009"
"China","Asia","1962","44.50136","665770000","487.6740183"
"China","Asia","1967","58.38112","754550000","612.7056934"
"China","Asia","1972","63.11888","862030000","676.9000921"
"China","Asia","1977","63.96736","943455000","741.2374699"
"China","Asia","1982","65.525","1000281000","962.4213805"
"China","Asia","1987","67.274","1084035000","1378.904018"
"China","Asia","1992","68.69","1164970000","1655.784158"
"China","Asia","1997","70.426","1230075000","2289.234136"
"China","Asia","2002","72.028","1280400000","3119.280896"
"China","Asia","2007","72.961","1318683096","4959.114854"
"India","Asia","1952","37.373","372000000","546.5657493"
"India","Asia","1957","40.249","409000000","590.061996"
"India","Asia","1962","43.605","454000000","658.3471509"
"India","Asia","1967","47.193","506000000","700.7706107"
"India","Asia","1972","50.651","567000000","724.032527"
"India","Asia","1977","54.208","634000000","813.337323"
"India","Asia","1982","56.596","708000000","855.7235377"
"India","Asia","1987","58.553","788000000","976.5126756"
"India","Asia","1992","60.223","872000000","1164.406809"
"India","Asia","1997","61.765","959000000","1458.817442"
"India","Asia","2002","62.879","1034172547","1746.769454"
"India","Asia","2007","64.698","1110396331","2452.210407"
"Indonesia","Asia","1952","37.468","82052000","749.6816546"
"Indonesia","Asia","1957","39.918","90124000","858.9002707"
"Indonesia","Asia","1962","42.518","99028000","849.2897701"
"Indonesia","Asia","1967","45.964","109343000","762.4317721"
"Indonesia","Asia","1972","49.203","121282000","1111.107907"
"Indonesia","Asia","1977","52.702","136725000","1382.702056"
"Indonesia","Asia","1982","56.159","153343000","1516.872988"
"Indonesia","Asia","1987","60.137","169276000","1748.356961"
"Indonesia","Asia","1992","62.681","184816000","2383.140898"
"Indonesia","Asia","1997","66.041","199278000","3119.335603"
"Indonesia","Asia","2002","68.588","211060000","2873.91287"
"Indonesia","Asia","2007","70.65","223547000","3540.651564"
"Japan","Asia","1952","63.03","86459025","3216.956347"
"Japan","Asia","1957","65.5","91563009","4317.694365"
"Japan","Asia","1962","68.73","95831757","6576.649461"
"Japan","Asia","1967","71.43","100825279","9847.788607"
"Japan","Asia","1972","73.42","107188273","14778.78636"
"Japan","Asia","1977","75.38","113872473","16610.37701"
"Japan","Asia","1982","77.11","118454974","19384.10571"
"Japan","Asia","1987","78.67","122091325","22375.94189"
"Japan","Asia","1992","79.36","124329269","26824.89511"
"Japan","Asia","1997","80.69","125956499","28816.58499"
"Japan","Asia","2002","82.0","127065841","28604.5919"
"Japan","Asia","2007","82.603","127467972","31656.06806"
"Korea, Rep.","Asia","1952","47.453","20947571","1030.592226"
"Korea, Rep.","Asia","1957","52.681","22611552","1487.593537"
"Korea, Rep.","Asia","1962","55.292","26420307","1536.344387"
"Korea, Rep.","Asia","1967","57.716","30131000","2029.228142"
"Korea, Rep.","Asia","1972","62.612","33505000","3030.87665"
"Korea, Rep.","Asia","1977","64.766","36436000","4657.22102"
"Korea, Rep.","Asia","1982","67.123","39326000","5622.942464"
"Korea, Rep.","Asia","1987","69.81","41622000","8533.088805"
"Korea, Rep.","Asia","1992","72.244","43805450","12104.27872"
"Korea, Rep.","Asia","1997","74.647","46173816","15993.52796"
"Korea, Rep.","Asia","2002","77.045","47969150","19233.98818"
"Korea, Rep.","Asia","2007","78.623","49044790","23348.13973"
