"country","continent","year","life","population","gdp","era"
"Afghanistan","Asia","1957","30.332","9240934","820.8530296","1957"
"Afghanistan","Asia","2007","43.828","31889923","974.5803384","2007"
"Albania","Europe","1957","59.28","1476505","1942.284244","1957"
"Albania","Europe","2007","76.423","3600523","5937.029526","2007"
"Algeria","Africa","1957","45.685","10270856","3013.976023","1957"
"Algeria","Africa","2007","72.301","33333216","6223.367465","2007"
"Angola","Africa","1957","31.999","4561361","3827.940465","1957"
"Angola","Africa","2007","42.731","12420476","4797.231267","2007"
"Argentina","Americas","1957","64.399","19610538","6856.856212","1957"
"Argentina","Americas","2007","75.32","40301927","12779.37964","2007"
"Australia","Oceania","1957","70.33","9712569","10949.64959","1957"
"Australia","Oceania","2007","81.235","20434176","34435.36744","2007"
"Austria","Europe","1957","67.48","6965860","8842.59803","1957"
"Austria","Europe","2007","79.829","8199783","36126.4927","2007"
"Bahrain","Asia","1957","53.832","138655","11635.79945","1957"
"Bahrain","Asia","2007","75.635","708573","29796.04834","2007"
"Bangladesh","Asia","1957","39.348","51365468","661.6374577","1957"
"Bangladesh","Asia","2007","64.062","150448339","1391.253792","2007"
"Belgium","Europe","1957","69.24","8989111","9714.960623","1957"
"Belgium","Europe","2007","79.441","10392226","33692.60508","2007"
"Benin","Africa","1957","40.358","1925173","959.6010805","1957"
"Benin","Africa","2007","56.728","8078314","1441.284873","2007"
"Bolivia","Americas","1957","41.89","3211738","2127.686326","1957"
"Bolivia","Americas","2007","65.554","9119152","3822.137084","2007"
"Bosnia and Herzegovina","Europe","1957","58.45","3076000","1353.989176","1957"
"Bosnia and Herzegovina","Europe","2007","74.852","4552198","7446.298803","2007"
"Botswana","Africa","1957","49.618","474639","918.2325349","1957"
"Botswana","Africa","2007","50.728","1639131","12569.85177","2007"
"Brazil","Americas","1957","53.285","65551171","2487.365989","1957"
"Brazil","Americas","2007","72.39","190010647","9065.800825","2007"
"Bulgaria","Europe","1957","66.61","7651254","3008.670727","1957"
"Bulgaria","Europe","2007","73.005","7322858","10680.79282","2007"
