"country","continent","year","life","population","gdp"
"Albania","Europe","2007","76.423","3600523","5937.029526"
"Austria","Europe","2007","79.829","8199783","36126.4927"
"Belgium","Europe","2007","79.441","10392226","33692.60508"
"Bosnia and Herzegovina","Europe","2007","74.852","4552198","7446.298803"
"Bulgaria","Europe","2007","73.005","7322858","10680.79282"
"Croatia","Europe","2007","75.748","4493312","14619.22272"
"Czech Republic","Europe","2007","76.486","10228744","22833.30851"
"Denmark","Europe","2007","78.332","5468120","35278.41874"
"Finland","Europe","2007","79.313","5238460","33207.0844"
"France","Europe","2007","80.657","61083916","30470.0167"
"Germany","Europe","2007","79.406","82400996","32170.37442"
"Greece","Europe","2007","79.483","10706290","27538.41188"
"Hungary","Europe","2007","73.338","9956108","18008.94444"
"Iceland","Europe","2007","81.757","301931","36180.78919"
"Ireland","Europe","2007","78.885","4109086","40675.99635"
"Italy","Europe","2007","80.546","58147733","28569.7197"
"Montenegro","Europe","2007","74.543","684736","9253.896111"
"Netherlands","Europe","2007","79.762","16570613","36797.93332"
"Norway","Europe","2007","80.196","4627926","49357.19017"
"Poland","Europe","2007","75.563","38518241","15389.92468"
"Portugal","Europe","2007","78.098","10642836","20509.64777"
"Romania","Europe","2007","72.476","22276056","10808.47561"
"Serbia","Europe","2007","74.002","10150265","9786.534714"
"Slovak Republic","Europe","2007","74.663","5447502","18678.31435"
"Slovenia","Europe","2007","77.926","2009245","25768.25759"
"Spain","Europe","2007","80.941","40448191","28821.0637"
"Sweden","Europe","2007","80.884","9031088","33859.74835"
"Switzerland","Europe","2007","81.701","7554661","37506.41907"
"Turkey","Europe","2007","71.777","71158647","8458.276384"
"United Kingdom","Europe","2007","79.425","60776238","33203.26128"
