"week","genre","plays"
"1","Folk","38.0"
"2","Folk","36.4"
"3","Folk","38.6"
"4","Folk","39.5"
"5","Folk","38.3"
"6","Folk","36.7"
"7","Folk","36.2"
"8","Folk","31.9"
"9","Folk","28.6"
"10","Folk","27.3"
"11","Folk","21.5"
"12","Folk","21.0"
"13","Folk","17.6"
"14","Folk","12.8"
"15","Folk","12.8"
"16","Folk","9.6"
"17","Folk","7.0"
"18","Folk","6.9"
"19","Folk","6.8"
"20","Folk","7.7"
"21","Folk","7.3"
"22","Folk","7.0"
"23","Folk","7.7"
"24","Folk","4.4"
"25","Folk","7.5"
"26","Folk","6.2"
"1","Jazz","11.8"
"2","Jazz","13.5"
"3","Jazz","13.8"
"4","Jazz","17.2"
"5","Jazz","19.2"
"6","Jazz","24.0"
"7","Jazz","26.0"
"8","Jazz","28.3"
"9","Jazz","29.8"
"10","Jazz","30.9"
"11","Jazz","33.2"
"12","Jazz","30.2"
"13","Jazz","30.2"
"14","Jazz","28.8"
"15","Jazz","27.4"
"16","Jazz","22.3"
"17","Jazz","19.9"
"18","Jazz","15.9"
"19","Jazz","14.5"
"20","Jazz","12.3"
"21","Jazz","12.5"
"22","Jazz","10.2"
"23","Jazz","8.5"
"24","Jazz","8.7"
"25","Jazz","6.7"
"26","Jazz","6.6"
"1","Techno","6.8"
"2","Techno","8.6"
"3","Techno","7.8"
"4","Techno","8.1"
"5","Techno","6.5"
"6","Techno","10.0"
"7","Techno","11.5"
"8","Techno","12.5"
"9","Techno","16.5"
"10","Techno","20.0"
"11","Techno","24.3"
"12","Techno","28.8"
"13","Techno","32.8"
"14","Techno","38.0"
"15","Techno","41.4"
"16","Techno","44.8"
"17","Techno","46.9"
"18","Techno","46.8"
"19","Techno","45.9"
"20","Techno","42.3"
"21","Techno","39.7"
"22","Techno","35.6"
"23","Techno","30.4"
"24","Techno","26.4"
"25","Techno","22.6"
"26","Techno","19.1"
"1","Ambient","5.9"
"2","Ambient","8.9"
"3","Ambient","6.4"
"4","Ambient","6.1"
"5","Ambient","6.1"
"6","Ambient","5.7"
"7","Ambient","5.4"
"8","Ambient","6.1"
"9","Ambient","6.4"
"10","Ambient","7.0"
"11","Ambient","5.9"
"12","Ambient","9.6"
"13","Ambient","12.1"
"14","Ambient","10.9"
"15","Ambient","14.3"
"16","Ambient","16.0"
"17","Ambient","19.1"
"18","Ambient","19.8"
"19","Ambient","24.2"
"20","Ambient","23.1"
"21","Ambient","26.1"
"22","Ambient","27.5"
"23","Ambient","28.6"
"24","Ambient","28.3"
"25","Ambient","26.5"
"26","Ambient","23.5"
