"east","north","elevation"
"20.0","20.0","100.0"
"20.0","40.0","102.0"
"20.0","60.0","104.0"
"20.0","80.0","105.0"
"20.0","100.0","107.0"
"20.0","120.0","109.0"
"20.0","140.0","110.0"
"20.0","160.0","114.0"
"20.0","180.0","118.0"
"20.0","200.0","120.0"
"20.0","220.0","122.0"
"20.0","240.0","123.0"
"20.0","260.0","123.0"
"20.0","280.0","120.0"
"20.0","300.0","117.0"
"20.0","320.0","114.0"
"20.0","340.0","113.0"
"20.0","360.0","110.0"
"20.0","380.0","108.0"
"20.0","400.0","107.0"
"20.0","420.0","107.0"
"20.0","440.0","109.0"
"20.0","460.0","111.0"
"20.0","480.0","112.0"
"20.0","500.0","113.0"
"20.0","520.0","115.0"
"20.0","540.0","114.0"
"20.0","560.0","112.0"
"20.0","580.0","111.0"
"20.0","600.0","112.0"
"20.0","620.0","113.0"
"20.0","640.0","114.0"
"20.0","660.0","115.0"
"20.0","680.0","116.0"
"20.0","700.0","117.0"
"20.0","720.0","114.0"
"20.0","740.0","109.0"
"20.0","760.0","104.0"
"20.0","780.0","101.0"
"20.0","800.0","100.0"
"20.0","820.0","99.0"
"20.0","840.0","99.0"
"20.0","860.0","98.0"
"20.0","880.0","97.0"
"40.0","20.0","101.0"
"40.0","40.0","103.0"
"40.0","60.0","105.0"
"40.0","80.0","106.0"
"40.0","100.0","108.0"
"40.0","120.0","110.0"
"40.0","140.0","113.0"
"40.0","160.0","117.0"
"40.0","180.0","120.0"
"40.0","200.0","125.0"
"40.0","220.0","127.0"
"40.0","240.0","129.0"
"40.0","260.0","131.0"
"40.0","280.0","128.0"
"40.0","300.0","121.0"
"40.0","320.0","118.0"
"40.0","340.0","114.0"
"40.0","360.0","113.0"
"40.0","380.0","111.0"
"40.0","400.0","111.0"
"40.0","420.0","109.0"
"40.0","440.0","111.0"
"40.0","460.0","113.0"
"40.0","480.0","114.0"
"40.0","500.0","115.0"
"40.0","520.0","117.0"
"40.0","540.0","116.0"
"40.0","560.0","114.0"
"40.0","580.0","113.0"
"40.0","600.0","114.0"
"40.0","620.0","115.0"
"40.0","640.0","116.0"
"40.0","660.0","117.0"
"40.0","680.0","118.0"
"40.0","700.0","119.0"
"40.0","720.0","116.0"
"40.0","740.0","112.0"
"40.0","760.0","105.0"
"40.0","780.0","103.0"
"40.0","800.0","101.0"
"40.0","820.0","100.0"
"40.0","840.0","99.0"
"40.0","860.0","98.0"
"40.0","880.0","97.0"
"60.0","20.0","101.0"
"60.0","40.0","103.0"
"60.0","60.0","105.0"
"60.0","80.0","107.0"
"60.0","100.0","109.0"
"60.0","120.0","111.0"
"60.0","140.0","114.0"
"60.0","160.0","117.0"
"60.0","180.0","122.0"
"60.0","200.0","126.0"
"60.0","220.0","130.0"
"60.0","240.0","133.0"
"60.0","260.0","136.0"
"60.0","280.0","134.0"
"60.0","300.0","129.0"
"60.0","320.0","122.0"
"60.0","340.0","118.0"
"60.0","360.0","114.0"
"60.0","380.0","114.0"
"60.0","400.0","114.0"
"60.0","420.0","113.0"
"60.0","440.0","115.0"
"60.0","460.0","116.0"
"60.0","480.0","117.0"
"60.0","500.0","118.0"
"60.0","520.0","119.0"
"60.0","540.0","118.0"
"60.0","560.0","116.0"
"60.0","580.0","115.0"
"60.0","600.0","116.0"
"60.0","620.0","116.0"
"60.0","640.0","117.0"
"60.0","660.0","118.0"
"60.0","680.0","120.0"
"60.0","700.0","120.0"
"60.0","720.0","119.0"
"60.0","740.0","113.0"
"60.0","760.0","106.0"
"60.0","780.0","104.0"
"60.0","800.0","102.0"
"60.0","820.0","101.0"
"60.0","840.0","100.0"
"60.0","860.0","99.0"
"60.0","880.0","98.0"
"80.0","20.0","101.0"
"80.0","40.0","103.0"
"80.0","60.0","105.0"
"80.0","80.0","107.0"
"80.0","100.0","109.0"
"80.0","120.0","111.0"
"80.0","140.0","114.0"
"80.0","160.0","119.0"
"80.0","180.0","124.0"
"80.0","200.0","128.0"
"80.0","220.0","133.0"
"80.0","240.0","137.0"
"80.0","260.0","140.0"
"80.0","280.0","139.0"
"80.0","300.0","135.0"
"80.0","320.0","131.0"
"80.0","340.0","122.0"
"80.0","360.0","118.0"
"80.0","380.0","117.0"
"80.0","400.0","116.0"
"80.0","420.0","116.0"
"80.0","440.0","117.0"
"80.0","460.0","118.0"
"80.0","480.0","119.0"
"80.0","500.0","120.0"
"80.0","520.0","121.0"
"80.0","540.0","120.0"
"80.0","560.0","119.0"
"80.0","580.0","117.0"
"80.0","600.0","118.0"
"80.0","620.0","118.0"
"80.0","640.0","118.0"
"80.0","660.0","120.0"
"80.0","680.0","123.0"
"80.0","700.0","123.0"
"80.0","720.0","120.0"
"80.0","740.0","113.0"
"80.0","760.0","108.0"
"80.0","780.0","105.0"
"80.0","800.0","103.0"
"80.0","820.0","102.0"
"80.0","840.0","101.0"
"80.0","860.0","100.0"
"80.0","880.0","99.0"
"100.0","20.0","100.0"
"100.0","40.0","102.0"
"100.0","60.0","104.0"
"100.0","80.0","106.0"
"100.0","100.0","108.0"
"100.0","120.0","110.0"
"100.0","140.0","115.0"
"100.0","160.0","120.0"
"100.0","180.0","125.0"
"100.0","200.0","130.0"
"100.0","220.0","135.0"
"100.0","240.0","139.0"
"100.0","260.0","144.0"
"100.0","280.0","144.0"
"100.0","300.0","140.0"
"100.0","320.0","136.0"
"100.0","340.0","129.0"
"100.0","360.0","123.0"
"100.0","380.0","120.0"
"100.0","400.0","119.0"
"100.0","420.0","119.0"
"100.0","440.0","120.0"
"100.0","460.0","120.0"
"100.0","480.0","122.0"
"100.0","500.0","123.0"
"100.0","520.0","123.0"
"100.0","540.0","122.0"
"100.0","560.0","122.0"
"100.0","580.0","121.0"
"100.0","600.0","122.0"
"100.0","620.0","123.0"
"100.0","640.0","123.0"
"100.0","660.0","125.0"
"100.0","680.0","126.0"
"100.0","700.0","125.0"
"100.0","720.0","122.0"
"100.0","740.0","116.0"
"100.0","760.0","109.0"
"100.0","780.0","106.0"
"100.0","800.0","104.0"
"100.0","820.0","103.0"
"100.0","840.0","102.0"
"100.0","860.0","101.0"
"100.0","880.0","100.0"
"120.0","20.0","101.0"
"120.0","40.0","103.0"
"120.0","60.0","104.0"
"120.0","80.0","105.0"
"120.0","100.0","108.0"
"120.0","120.0","112.0"
"120.0","140.0","119.0"
"120.0","160.0","124.0"
"120.0","180.0","127.0"
"120.0","200.0","132.0"
"120.0","220.0","137.0"
"120.0","240.0","143.0"
"120.0","260.0","149.0"
"120.0","280.0","149.0"
"120.0","300.0","145.0"
"120.0","320.0","141.0"
"120.0","340.0","136.0"
"120.0","360.0","131.0"
"120.0","380.0","125.0"
"120.0","400.0","121.0"
"120.0","420.0","122.0"
"120.0","440.0","123.0"
"120.0","460.0","125.0"
"120.0","480.0","127.0"
"120.0","500.0","127.0"
"120.0","520.0","128.0"
"120.0","540.0","129.0"
"120.0","560.0","130.0"
"120.0","580.0","131.0"
"120.0","600.0","132.0"
"120.0","620.0","133.0"
"120.0","640.0","132.0"
"120.0","660.0","131.0"
"120.0","680.0","130.0"
"120.0","700.0","128.0"
"120.0","720.0","125.0"
"120.0","740.0","121.0"
"120.0","760.0","111.0"
"120.0","780.0","108.0"
"120.0","800.0","105.0"
"120.0","820.0","103.0"
"120.0","840.0","101.0"
"120.0","860.0","100.0"
"120.0","880.0","100.0"
"140.0","20.0","102.0"
"140.0","40.0","104.0"
"140.0","60.0","105.0"
"140.0","80.0","106.0"
"140.0","100.0","110.0"
"140.0","120.0","118.0"
"140.0","140.0","124.0"
"140.0","160.0","128.0"
"140.0","180.0","132.0"
"140.0","200.0","136.0"
"140.0","220.0","143.0"
"140.0","240.0","150.0"
"140.0","260.0","154.0"
"140.0","280.0","153.0"
"140.0","300.0","149.0"
"140.0","320.0","146.0"
"140.0","340.0","141.0"
"140.0","360.0","137.0"
"140.0","380.0","132.0"
"140.0","400.0","128.0"
"140.0","420.0","128.0"
"140.0","440.0","129.0"
"140.0","460.0","130.0"
"140.0","480.0","132.0"
"140.0","500.0","132.0"
"140.0","520.0","134.0"
"140.0","540.0","135.0"
"140.0","560.0","136.0"
"140.0","580.0","138.0"
"140.0","600.0","139.0"
"140.0","620.0","140.0"
"140.0","640.0","139.0"
"140.0","660.0","138.0"
"140.0","680.0","137.0"
"140.0","700.0","132.0"
"140.0","720.0","129.0"
"140.0","740.0","124.0"
"140.0","760.0","116.0"
"140.0","780.0","109.0"
"140.0","800.0","105.0"
"140.0","820.0","102.0"
"140.0","840.0","101.0"
"140.0","860.0","99.0"
"140.0","880.0","99.0"
"160.0","20.0","102.0"
"160.0","40.0","104.0"
"160.0","60.0","105.0"
"160.0","80.0","108.0"
"160.0","100.0","113.0"
"160.0","120.0","123.0"
"160.0","140.0","129.0"
"160.0","160.0","137.0"
"160.0","180.0","142.0"
"160.0","200.0","145.0"
"160.0","220.0","154.0"
"160.0","240.0","161.0"
"160.0","260.0","160.0"
"160.0","280.0","160.0"
"160.0","300.0","157.0"
"160.0","320.0","151.0"
"160.0","340.0","146.0"
"160.0","360.0","143.0"
"160.0","380.0","142.0"
"160.0","400.0","137.0"
"160.0","420.0","137.0"
"160.0","440.0","138.0"
"160.0","460.0","139.0"
"160.0","480.0","139.0"
"160.0","500.0","139.0"
"160.0","520.0","139.0"
"160.0","540.0","140.0"
"160.0","560.0","141.0"
"160.0","580.0","142.0"
"160.0","600.0","144.0"
"160.0","620.0","144.0"
"160.0","640.0","145.0"
"160.0","660.0","145.0"
"160.0","680.0","144.0"
"160.0","700.0","140.0"
"160.0","720.0","136.0"
"160.0","740.0","124.0"
"160.0","760.0","113.0"
"160.0","780.0","106.0"
"160.0","800.0","105.0"
"160.0","820.0","103.0"
"160.0","840.0","101.0"
"160.0","860.0","100.0"
"160.0","880.0","99.0"
"180.0","20.0","103.0"
"180.0","40.0","105.0"
"180.0","60.0","107.0"
"180.0","80.0","111.0"
"180.0","100.0","118.0"
"180.0","120.0","127.0"
"180.0","140.0","140.0"
"180.0","160.0","150.0"
"180.0","180.0","153.0"
"180.0","200.0","157.0"
"180.0","220.0","162.0"
"180.0","240.0","167.0"
"180.0","260.0","168.0"
"180.0","280.0","167.0"
"180.0","300.0","163.0"
"180.0","320.0","157.0"
"180.0","340.0","150.0"
"180.0","360.0","148.0"
"180.0","380.0","147.0"
"180.0","400.0","145.0"
"180.0","420.0","144.0"
"180.0","440.0","143.0"
"180.0","460.0","144.0"
"180.0","480.0","144.0"
"180.0","500.0","145.0"
"180.0","520.0","145.0"
"180.0","540.0","146.0"
"180.0","560.0","146.0"
"180.0","580.0","146.0"
"180.0","600.0","147.0"
"180.0","620.0","149.0"
"180.0","640.0","150.0"
"180.0","660.0","150.0"
"180.0","680.0","147.0"
"180.0","700.0","143.0"
"180.0","720.0","134.0"
"180.0","740.0","123.0"
"180.0","760.0","111.0"
"180.0","780.0","105.0"
"180.0","800.0","104.0"
"180.0","820.0","103.0"
"180.0","840.0","102.0"
"180.0","860.0","100.0"
"180.0","880.0","100.0"
"200.0","20.0","103.0"
"200.0","40.0","105.0"
"200.0","60.0","108.0"
"200.0","80.0","114.0"
"200.0","100.0","123.0"
"200.0","120.0","133.0"
"200.0","140.0","150.0"
"200.0","160.0","160.0"
"200.0","180.0","161.0"
"200.0","200.0","167.0"
"200.0","220.0","171.0"
"200.0","240.0","173.0"
"200.0","260.0","175.0"
"200.0","280.0","174.0"
"200.0","300.0","171.0"
"200.0","320.0","164.0"
"200.0","340.0","156.0"
"200.0","360.0","154.0"
"200.0","380.0","153.0"
"200.0","400.0","152.0"
"200.0","420.0","149.0"
"200.0","440.0","148.0"
