"at","load"
"2024-03-04 06:00:00","40.0"
"2024-03-04 07:00:00","47.0"
"2024-03-04 08:00:00","54.0"
"2024-03-04 09:00:00","60.0"
"2024-03-04 10:00:00","65.0"
"2024-03-04 11:00:00","64.0"
"2024-03-04 12:00:00","66.0"
"2024-03-04 13:00:00","67.0"
"2024-03-04 14:00:00","66.0"
"2024-03-04 15:00:00","63.0"
"2024-03-04 16:00:00","55.0"
"2024-03-04 17:00:00","51.0"
"2024-03-04 18:00:00","46.0"
"2024-03-04 19:00:00","40.0"
"2024-03-04 20:00:00","35.0"
"2024-03-04 21:00:00","26.0"
"2024-03-04 22:00:00","22.0"
"2024-03-04 23:00:00","20.0"
"2024-03-05 00:00:00","19.0"
"2024-03-05 01:00:00","19.0"
"2024-03-05 02:00:00","16.0"
"2024-03-05 03:00:00","20.0"
"2024-03-05 04:00:00","24.0"
"2024-03-05 05:00:00","30.0"
"2024-03-05 06:00:00","37.0"
"2024-03-05 07:00:00","39.0"
"2024-03-05 08:00:00","46.0"
"2024-03-05 09:00:00","53.0"
"2024-03-05 10:00:00","59.0"
"2024-03-05 11:00:00","65.0"
"2024-03-05 12:00:00","63.0"
"2024-03-05 13:00:00","66.0"
"2024-03-05 14:00:00","67.0"
"2024-03-05 15:00:00","66.0"
"2024-03-05 16:00:00","64.0"
"2024-03-05 17:00:00","56.0"
"2024-03-05 18:00:00","51.0"
