"food","nutrient","amount"
"salmon","protein","25.4"
"salmon","fat","12.4"
"salmon","carbs","0.0"
"salmon","fiber","0.0"
"salmon","iron","0.5"
"rice","protein","2.7"
"rice","fat","0.3"
"rice","carbs","23.0"
"rice","fiber","1.8"
"rice","iron","0.5"
"almonds","protein","21.2"
"almonds","fat","49.9"
"almonds","carbs","21.6"
"almonds","fiber","12.5"
"almonds","iron","3.7"
"lentils","protein","9.0"
"lentils","fat","0.4"
"lentils","carbs","20.0"
"lentils","fiber","7.9"
"lentils","iron","3.3"
"chicken","protein","31.0"
"chicken","fat","3.6"
"chicken","carbs","0.0"
"chicken","fiber","0.0"
"chicken","iron","1.0"
"spinach","protein","2.9"
"spinach","fat","0.4"
"spinach","carbs","3.6"
"spinach","fiber","2.2"
"spinach","iron","2.7"
"beans","protein","8.9"
"beans","fat","0.5"
"beans","carbs","23.7"
"beans","fiber","8.7"
"beans","iron","2.1"
"oats","protein","2.5"
"oats","fat","1.5"
"oats","carbs","18.0"
"oats","fiber","1.7"
"oats","iron","0.9"
