"east","north","elevation","magnitude","slab"
"181.62","-20.42","-562","4.8","540-630 km"
"181.03","-20.62","-650","4.2","630-720 km"
"184.1","-26.0","-42","5.4","0-90 km"
"181.66","-17.97","-626","4.1","540-630 km"
"181.96","-20.42","-649","4.0","630-720 km"
"184.31","-19.68","-195","4.0","180-270 km"
"166.1","-11.7","-82","4.8","0-90 km"
"181.93","-28.11","-194","4.4","180-270 km"
"181.74","-28.74","-211","4.7","180-270 km"
"179.59","-17.47","-622","4.3","540-630 km"
"180.69","-21.44","-583","4.4","540-630 km"
"167.0","-12.26","-249","4.6","180-270 km"
"182.11","-18.54","-554","4.4","540-630 km"
"181.66","-21.0","-600","4.4","540-630 km"
"169.92","-20.7","-139","6.1","90-180 km"
"184.95","-15.94","-306","4.3","270-360 km"
"165.96","-13.64","-50","6.0","0-90 km"
"181.5","-17.83","-590","4.5","540-630 km"
"179.78","-23.5","-570","4.4","540-630 km"
"180.31","-22.63","-598","4.4","540-630 km"
"181.16","-20.84","-576","4.5","540-630 km"
"166.32","-10.98","-211","4.2","180-270 km"
"180.16","-23.3","-512","4.4","450-540 km"
"182.0","-30.2","-125","4.7","90-180 km"
"180.28","-19.66","-431","5.4","360-450 km"
"181.49","-17.94","-537","4.0","450-540 km"
"167.51","-14.72","-155","4.6","90-180 km"
"180.79","-16.46","-498","5.2","450-540 km"
"181.47","-20.97","-582","4.5","540-630 km"
"182.37","-19.84","-328","4.4","270-360 km"
"179.24","-22.58","-553","4.6","540-630 km"
"166.74","-16.32","-50","4.7","0-90 km"
"185.05","-15.55","-292","4.8","270-360 km"
"180.8","-23.55","-349","4.0","270-360 km"
"186.0","-16.3","-48","4.5","0-90 km"
"179.33","-25.82","-600","4.3","540-630 km"
"169.23","-18.73","-206","4.5","180-270 km"
"181.28","-17.64","-574","4.6","540-630 km"
"181.4","-17.66","-585","4.1","540-630 km"
"169.33","-18.82","-230","4.4","180-270 km"
"176.78","-37.37","-263","4.7","180-270 km"
"186.1","-15.31","-96","4.6","90-180 km"
"179.82","-24.97","-511","4.4","450-540 km"
"186.04","-15.49","-94","4.3","90-180 km"
"169.41","-19.23","-246","4.6","180-270 km"
"182.3","-30.1","-56","4.9","0-90 km"
"181.7","-26.4","-329","4.5","270-360 km"
"166.32","-11.77","-70","4.4","0-90 km"
"180.08","-24.12","-493","4.3","450-540 km"
"185.25","-18.97","-129","5.1","90-180 km"
"182.35","-18.75","-554","4.2","540-630 km"
"184.42","-19.26","-223","4.0","180-270 km"
"173.2","-22.75","-46","4.6","0-90 km"
"180.67","-21.37","-593","4.3","540-630 km"
"182.16","-20.1","-489","4.2","450-540 km"
"182.13","-19.85","-562","4.4","540-630 km"
"181.0","-22.7","-445","4.5","360-450 km"
"180.6","-22.06","-584","4.0","540-630 km"
"181.35","-17.8","-535","4.4","450-540 km"
"179.2","-24.2","-530","4.3","450-540 km"
"181.55","-20.69","-582","4.7","540-630 km"
"182.4","-21.16","-260","4.1","180-270 km"
"172.38","-13.82","-613","5.0","540-630 km"
"166.22","-11.49","-84","4.6","0-90 km"
"181.41","-20.68","-593","4.9","540-630 km"
"184.93","-17.1","-286","4.7","270-360 km"
"181.6","-20.14","-587","4.1","540-630 km"
"179.62","-21.96","-627","5.0","540-630 km"
"181.86","-20.42","-530","4.5","450-540 km"
"187.81","-15.46","-40","5.5","0-90 km"
"185.8","-15.31","-152","4.0","90-180 km"
"184.35","-19.86","-201","4.5","180-270 km"
"166.2","-11.55","-96","4.3","90-180 km"
"179.99","-23.74","-506","5.2","450-540 km"
"181.23","-17.7","-546","4.4","540-630 km"
"180.04","-23.54","-564","4.3","540-630 km"
"184.7","-19.21","-197","4.1","180-270 km"
"167.06","-12.11","-265","4.5","180-270 km"
"181.71","-21.81","-323","4.2","270-360 km"
"181.11","-28.98","-304","5.3","270-360 km"
"180.21","-34.02","-75","5.2","0-90 km"
"180.99","-23.84","-367","4.5","360-450 km"
"182.38","-19.57","-579","4.6","540-630 km"
"183.4","-20.12","-284","4.3","270-360 km"
"181.7","-17.7","-450","4.0","360-450 km"
"184.31","-19.66","-170","4.3","90-180 km"
"170.5","-21.5","-117","4.7","90-180 km"
"179.96","-23.64","-538","4.5","450-540 km"
"186.3","-15.43","-123","4.2","90-180 km"
"186.44","-15.41","-69","4.3","0-90 km"
"167.53","-15.48","-128","5.1","90-180 km"
"167.06","-13.36","-236","4.7","180-270 km"
"182.02","-20.64","-497","5.2","450-540 km"
"169.71","-19.72","-271","4.2","270-360 km"
"185.26","-15.44","-224","4.2","180-270 km"
"182.4","-19.73","-375","4.0","360-450 km"
"181.11","-27.24","-365","4.5","360-450 km"
"183.41","-18.16","-306","5.2","270-360 km"
"166.54","-13.66","-50","5.1","0-90 km"
"179.92","-24.57","-484","4.7","450-540 km"
"185.61","-16.98","-108","4.1","90-180 km"
"178.41","-26.2","-583","4.6","540-630 km"
"180.39","-21.88","-608","4.7","540-630 km"
