"day","sales"
"1994-06-30","52.0"
"1995-06-30","57.0"
"1996-06-30","55.0"
"1997-06-30","61.0"
"1998-06-30","64.0"
"1999-06-30","60.0"
"2000-06-30","68.0"
"2001-06-30","66.0"
"2002-06-30","71.0"
"2003-06-30","75.0"
"2004-06-30","74.0"
"2005-06-30","80.0"
"2006-06-30","78.0"
"2007-06-30","85.0"
"2008-06-30","72.0"
"2009-06-30","72.0"
"2010-06-30","79.0"
"2011-06-30","84.0"
"2012-06-30","88.0"
"2013-06-30","87.0"
"2014-06-30","93.0"
"2015-06-30","96.0"
"2016-06-30","94.0"
"2017-06-30","101.0"
"2018-06-30","105.0"
"2019-06-30","103.0"
