"across","along","height","tank","instant"
"20.0","20.0","3.547","Shallow","1"
"40.0","20.0","5.845","Shallow","1"
"60.0","20.0","4.353","Shallow","1"
"80.0","20.0","-0.178","Shallow","1"
"100.0","20.0","-4.265","Shallow","1"
"120.0","20.0","-4.931","Shallow","1"
"140.0","20.0","-2.005","Shallow","1"
"160.0","20.0","2.011","Shallow","1"
"180.0","20.0","4.105","Shallow","1"
"200.0","20.0","3.026","Shallow","1"
"220.0","20.0","-0.039","Shallow","1"
"240.0","20.0","-2.65","Shallow","1"
"260.0","20.0","-3.031","Shallow","1"
"280.0","20.0","-1.23","Shallow","1"
"300.0","20.0","1.178","Shallow","1"
"20.0","40.0","5.845","Shallow","1"
"40.0","40.0","5.523","Shallow","1"
"60.0","40.0","2.862","Shallow","1"
"80.0","40.0","-1.508","Shallow","1"
"100.0","40.0","-4.757","Shallow","1"
"120.0","40.0","-4.626","Shallow","1"
"140.0","40.0","-1.383","Shallow","1"
"160.0","40.0","2.451","Shallow","1"
"180.0","40.0","4.141","Shallow","1"
"200.0","40.0","2.76","Shallow","1"
"220.0","40.0","-0.344","Shallow","1"
"240.0","40.0","-2.784","Shallow","1"
"260.0","40.0","-2.953","Shallow","1"
"280.0","40.0","-1.049","Shallow","1"
"300.0","40.0","1.317","Shallow","1"
"20.0","60.0","4.353","Shallow","1"
"40.0","60.0","2.862","Shallow","1"
"60.0","60.0","-0.178","Shallow","1"
"80.0","60.0","-3.562","Shallow","1"
"100.0","60.0","-5.165","Shallow","1"
"120.0","60.0","-3.74","Shallow","1"
"140.0","60.0","-0.15","Shallow","1"
"160.0","60.0","3.181","Shallow","1"
"180.0","60.0","4.077","Shallow","1"
"200.0","60.0","2.179","Shallow","1"
"220.0","60.0","-0.925","Shallow","1"
"240.0","60.0","-2.994","Shallow","1"
"260.0","60.0","-2.759","Shallow","1"
"280.0","60.0","-0.682","Shallow","1"
"300.0","60.0","1.573","Shallow","1"
"20.0","80.0","-0.178","Shallow","1"
"40.0","80.0","-1.508","Shallow","1"
"60.0","80.0","-3.562","Shallow","1"
"80.0","80.0","-5.051","Shallow","1"
"100.0","80.0","-4.626","Shallow","1"
"120.0","80.0","-2.005","Shallow","1"
"140.0","80.0","1.527","Shallow","1"
"160.0","80.0","3.89","Shallow","1"
"180.0","80.0","3.689","Shallow","1"
"200.0","80.0","1.236","Shallow","1"
"220.0","80.0","-1.698","Shallow","1"
"240.0","80.0","-3.166","Shallow","1"
"260.0","80.0","-2.381","Shallow","1"
"280.0","80.0","-0.134","Shallow","1"
"300.0","80.0","1.898","Shallow","1"
"20.0","100.0","-4.265","Shallow","1"
"40.0","100.0","-4.757","Shallow","1"
"60.0","100.0","-5.165","Shallow","1"
"80.0","100.0","-4.626","Shallow","1"
"100.0","100.0","-2.616","Shallow","1"
"120.0","100.0","0.44","Shallow","1"
"140.0","100.0","3.181","Shallow","1"
"160.0","100.0","4.13","Shallow","1"
"180.0","100.0","2.76","Shallow","1"
"200.0","100.0","-0.039","Shallow","1"
"220.0","100.0","-2.496","Shallow","1"
"240.0","100.0","-3.141","Shallow","1"
"260.0","100.0","-1.756","Shallow","1"
"280.0","100.0","0.56","Shallow","1"
"300.0","100.0","2.216","Shallow","1"
"20.0","120.0","-4.931","Shallow","1"
"40.0","120.0","-4.626","Shallow","1"
"60.0","120.0","-3.74","Shallow","1"
"80.0","120.0","-2.005","Shallow","1"
"100.0","120.0","0.44","Shallow","1"
"120.0","120.0","2.841","Shallow","1"
"140.0","120.0","4.105","Shallow","1"
"160.0","120.0","3.494","Shallow","1"
"180.0","120.0","1.236","Shallow","1"
"200.0","120.0","-1.455","Shallow","1"
"220.0","120.0","-3.071","Shallow","1"
"240.0","120.0","-2.759","Shallow","1"
"260.0","120.0","-0.866","Shallow","1"
"280.0","120.0","1.317","Shallow","1"
"300.0","120.0","2.418","Shallow","1"
"20.0","140.0","-2.005","Shallow","1"
"40.0","140.0","-1.383","Shallow","1"
"60.0","140.0","-0.15","Shallow","1"
"80.0","140.0","1.527","Shallow","1"
"100.0","140.0","3.181","Shallow","1"
"120.0","140.0","4.105","Shallow","1"
"140.0","140.0","3.689","Shallow","1"
"160.0","140.0","1.872","Shallow","1"
"180.0","140.0","-0.64","Shallow","1"
"200.0","140.0","-2.65","Shallow","1"
"220.0","140.0","-3.141","Shallow","1"
"240.0","140.0","-1.922","Shallow","1"
"260.0","140.0","0.22","Shallow","1"
"280.0","140.0","1.99","Shallow","1"
"300.0","140.0","2.387","Shallow","1"
"20.0","160.0","2.011","Shallow","1"
"40.0","160.0","2.451","Shallow","1"
"60.0","160.0","3.181","Shallow","1"
"80.0","160.0","3.89","Shallow","1"
"100.0","160.0","4.13","Shallow","1"
"120.0","160.0","3.494","Shallow","1"
"140.0","160.0","1.872","Shallow","1"
"160.0","160.0","-0.344","Shallow","1"
"180.0","160.0","-2.324","Shallow","1"
"200.0","160.0","-3.186","Shallow","1"
"220.0","160.0","-2.517","Shallow","1"
"240.0","160.0","-0.682","Shallow","1"
"260.0","160.0","1.317","Shallow","1"
"280.0","160.0","2.395","Shallow","1"
"300.0","160.0","2.025","Shallow","1"
"20.0","180.0","4.105","Shallow","1"
"40.0","180.0","4.141","Shallow","1"
"60.0","180.0","4.077","Shallow","1"
"80.0","180.0","3.689","Shallow","1"
"100.0","180.0","2.76","Shallow","1"
"120.0","180.0","1.236","Shallow","1"
"140.0","180.0","-0.64","Shallow","1"
"160.0","180.0","-2.324","Shallow","1"
"180.0","180.0","-3.166","Shallow","1"
"200.0","180.0","-2.759","Shallow","1"
"220.0","180.0","-1.23","Shallow","1"
"240.0","180.0","0.723","Shallow","1"
"260.0","180.0","2.149","Shallow","1"
"280.0","180.0","2.355","Shallow","1"
"300.0","180.0","1.307","Shallow","1"
"20.0","200.0","3.026","Shallow","1"
"40.0","200.0","2.76","Shallow","1"
"60.0","200.0","2.179","Shallow","1"
"80.0","200.0","1.236","Shallow","1"
"100.0","200.0","-0.039","Shallow","1"
"120.0","200.0","-1.455","Shallow","1"
"140.0","200.0","-2.65","Shallow","1"
"160.0","200.0","-3.186","Shallow","1"
"180.0","200.0","-2.759","Shallow","1"
"200.0","200.0","-1.409","Shallow","1"
"220.0","200.0","0.392","Shallow","1"
"240.0","200.0","1.898","Shallow","1"
"260.0","200.0","2.438","Shallow","1"
"280.0","200.0","1.786","Shallow","1"
"300.0","200.0","0.319","Shallow","1"
"20.0","220.0","-0.039","Shallow","1"
"40.0","220.0","-0.344","Shallow","1"
"60.0","220.0","-0.925","Shallow","1"
"80.0","220.0","-1.698","Shallow","1"
"100.0","220.0","-2.496","Shallow","1"
"120.0","220.0","-3.071","Shallow","1"
"140.0","220.0","-3.141","Shallow","1"
"160.0","220.0","-2.517","Shallow","1"
"180.0","220.0","-1.23","Shallow","1"
"200.0","220.0","0.392","Shallow","1"
"220.0","220.0","1.798","Shallow","1"
"240.0","220.0","2.433","Shallow","1"
"260.0","220.0","2.025","Shallow","1"
"280.0","220.0","0.767","Shallow","1"
"300.0","220.0","-0.732","Shallow","1"
"20.0","240.0","-2.65","Shallow","1"
"40.0","240.0","-2.784","Shallow","1"
"60.0","240.0","-2.994","Shallow","1"
"80.0","240.0","-3.166","Shallow","1"
"100.0","240.0","-3.141","Shallow","1"
"120.0","240.0","-2.759","Shallow","1"
"140.0","240.0","-1.922","Shallow","1"
"160.0","240.0","-0.682","Shallow","1"
"180.0","240.0","0.723","Shallow","1"
"200.0","240.0","1.898","Shallow","1"
"220.0","240.0","2.433","Shallow","1"
"240.0","240.0","2.095","Shallow","1"
"260.0","240.0","0.988","Shallow","1"
"280.0","240.0","-0.438","Shallow","1"
"300.0","240.0","-1.557","Shallow","1"
"20.0","260.0","-3.031","Shallow","1"
"40.0","260.0","-2.953","Shallow","1"
"60.0","260.0","-2.759","Shallow","1"
"80.0","260.0","-2.381","Shallow","1"
"100.0","260.0","-1.756","Shallow","1"
"120.0","260.0","-0.866","Shallow","1"
"140.0","260.0","0.22","Shallow","1"
"160.0","260.0","1.317","Shallow","1"
"180.0","260.0","2.149","Shallow","1"
"200.0","260.0","2.438","Shallow","1"
"220.0","260.0","2.025","Shallow","1"
"240.0","260.0","0.988","Shallow","1"
"260.0","260.0","-0.334","Shallow","1"
"280.0","260.0","-1.442","Shallow","1"
"300.0","260.0","-1.885","Shallow","1"
"20.0","280.0","-1.23","Shallow","1"
"40.0","280.0","-1.049","Shallow","1"
"60.0","280.0","-0.682","Shallow","1"
"80.0","280.0","-0.134","Shallow","1"
"100.0","280.0","0.56","Shallow","1"
"120.0","280.0","1.317","Shallow","1"
"140.0","280.0","1.99","Shallow","1"
"160.0","280.0","2.395","Shallow","1"
"180.0","280.0","2.355","Shallow","1"
"200.0","280.0","1.786","Shallow","1"
"220.0","280.0","0.767","Shallow","1"
"240.0","280.0","-0.438","Shallow","1"
"260.0","280.0","-1.442","Shallow","1"
