"city","route","lon","lat"
"Seoul","Seoul-Tokyo","126.98","37.57"
"Seoul","Seoul-Singapore","126.98","37.57"
"Seoul","Seoul-Delhi","126.98","37.57"
"Tokyo","Seoul-Tokyo","139.69","35.68"
"Tokyo","Tokyo-Anchorage","139.69","35.68"
"Singapore","Seoul-Singapore","103.82","1.35"
"Singapore","Singapore-Sydney","103.82","1.35"
"Delhi","Seoul-Delhi","77.21","28.61"
"Delhi","Delhi-Cairo","77.21","28.61"
"Cairo","Delhi-Cairo","31.24","30.04"
"Cairo","Cairo-London","31.24","30.04"
"London","Cairo-London","-0.13","51.51"
"Anchorage","Tokyo-Anchorage","-149.9","61.22"
"Sydney","Singapore-Sydney","151.21","-33.87"
