"score","expected","lower","upper"
"0","0","-1.6103043190651882","1.6103043190651882"
"1","1","-1.8655575373738351","3.865557537373835"
"2","2","-1.9444239123096287","5.944423912309629"
"3","3","-1.6948035102653654","7.694803510265365"
"4","4","-1.2592318830795053","9.259231883079504"
"5","5","-0.6932855189249034","10.693285518924903"
"6","6","-0.025207050384243423","12.025207050384243"
"7","7","0.7287656717357462","13.271234328264253"
"8","8","1.558782723739247","14.441217276260753"
"9","9","2.458912934381625","15.541087065618374"
"10","10","3.4259601461506177","16.57403985384938"
"11","11","4.458912934381625","17.541087065618374"
"12","12","5.558782723739247","18.44121727626075"
"13","13","6.728765671735746","19.271234328264253"
"14","14","7.974792949615757","20.025207050384243"
"15","15","9.3067144810750975","20.693285518924903"
"16","16","10.740768116920496","21.259231883079504"
"17","17","12.305196489734634","21.694803510265366"
"18","18","14.05557608769037","21.944423912309627"
"19","19","16.134442462626165","21.865557537373835"
"20","20","18.38969568093481","21.61030431906519"
