"session","open","close","high","low"
"01","100.39","100.45","100.66","99.98"
"02","99.41","99.72","99.93","98.66"
"03","101.02","103.11","104.19","100.53"
"04","102.09","102.01","102.98","101.6"
"05","105.03","104.85","105.71","103.86"
"06","106.28","105.77","106.36","104.94"
"07","103.97","106.74","107.77","103.58"
"08","103.59","103.88","104.98","103.06"
"09","107.0","109.35","109.62","106.68"
"10","110.2","112.52","113.27","110.04"
"11","111.22","112.28","112.37","110.12"
"12","111.25","110.74","111.86","109.89"
"13","111.94","114.2","115.16","111.25"
"14","111.85","113.49","114.66","110.75"
