"day","orders","weekday","week"
"2024-03-01","20.0","Fri","Week 1"
"2024-03-02","23.0","Sat","Week 1"
"2024-03-03","25.0","Sun","Week 1"
"2024-03-04","28.0","Mon","Week 1"
"2024-03-05","30.0","Tue","Week 1"
"2024-03-06","32.0","Wed","Week 1"
"2024-03-07","33.0","Thu","Week 1"
"2024-03-08","28.0","Fri","Week 2"
"2024-03-09","29.0","Sat","Week 2"
"2024-03-10","30.0","Sun","Week 2"
"2024-03-11","30.0","Mon","Week 2"
"2024-03-12","30.0","Tue","Week 2"
"2024-03-13","30.0","Wed","Week 2"
"2024-03-14","30.0","Thu","Week 2"
"2024-03-15","23.0","Fri","Week 3"
"2024-03-16","22.0","Sat","Week 3"
"2024-03-17","22.0","Sun","Week 3"
"2024-03-18","21.0","Mon","Week 3"
"2024-03-19","20.0","Tue","Week 3"
"2024-03-20","20.0","Wed","Week 3"
"2024-03-21","20.0","Thu","Week 3"
"2024-03-22","13.0","Fri","Week 4"
"2024-03-23","13.0","Sat","Week 4"
"2024-03-24","14.0","Sun","Week 4"
"2024-03-25","15.0","Mon","Week 4"
"2024-03-26","16.0","Tue","Week 4"
"2024-03-27","18.0","Wed","Week 4"
"2024-03-28","20.0","Thu","Week 4"
"2024-03-29","15.0","Fri","Week 5"
"2024-03-30","17.0","Sat","Week 5"
"2024-03-31","20.0","Sun","Week 5"
"2024-04-01","22.0","Mon","Week 5"
"2024-04-02","25.0","Tue","Week 5"
"2024-04-03","27.0","Wed","Week 5"
"2024-04-04","30.0","Thu","Week 5"
"2024-04-05","25.0","Fri","Week 6"
"2024-04-06","27.0","Sat","Week 6"
"2024-04-07","29.0","Sun","Week 6"
"2024-04-08","31.0","Mon","Week 6"
"2024-04-09","32.0","Tue","Week 6"
"2024-04-10","33.0","Wed","Week 6"
"2024-04-11","34.0","Thu","Week 6"
