"team","years"
"Research & Development","6.7"
"Research & Development","4.9"
"Research & Development","8.3"
"Research & Development","7.6"
"Research & Development","10.1"
"Research & Development","7.9"
"Research & Development","3.1"
"Research & Development","5.7"
"Research & Development","10.8"
"Research & Development","10.5"
"Research & Development","7.6"
"Research & Development","6.2"
"Research & Development","7.1"
"Research & Development","6.1"
"Research & Development","6.3"
"Research & Development","6.6"
"Research & Development","9.0"
"Research & Development","6.1"
"Research & Development","6.0"
"Research & Development","5.5"
"Research & Development","9.9"
"Research & Development","6.6"
"Research & Development","9.3"
"Research & Development","9.3"
"Research & Development","7.6"
"Research & Development","5.5"
"Research & Development","9.2"
"Research & Development","8.4"
"Research & Development","4.0"
"Research & Development","9.2"
"Sales & Marketing","3.3"
"Sales & Marketing","4.8"
"Sales & Marketing","1.9"
"Sales & Marketing","0.7"
"Sales & Marketing","4.5"
"Sales & Marketing","2.5"
"Sales & Marketing","2.7"
"Sales & Marketing","4.6"
"Sales & Marketing","2.4"
"Sales & Marketing","2.1"
"Sales & Marketing","5.2"
"Sales & Marketing","3.4"
"Sales & Marketing","5.2"
"Sales & Marketing","0.4"
"Sales & Marketing","1.8"
"Sales & Marketing","1.7"
"Sales & Marketing","3.3"
"Sales & Marketing","2.5"
"Sales & Marketing","4.3"
"Sales & Marketing","0.2"
"Sales & Marketing","2.0"
"Sales & Marketing","2.1"
"Sales & Marketing","3.0"
"Sales & Marketing","3.8"
"Sales & Marketing","6.3"
"Sales & Marketing","2.1"
"Sales & Marketing","2.2"
"Sales & Marketing","4.2"
"Sales & Marketing","2.9"
"Sales & Marketing","5.3"
"Customer Operations","1.1"
"Customer Operations","3.7"
"Customer Operations","0.8"
"Customer Operations","4.9"
"Customer Operations","2.6"
"Customer Operations","2.1"
"Customer Operations","1.9"
"Customer Operations","3.5"
"Customer Operations","3.0"
"Customer Operations","2.2"
"Customer Operations","2.6"
"Customer Operations","1.8"
"Customer Operations","1.2"
"Customer Operations","2.6"
"Customer Operations","3.3"
"Customer Operations","2.0"
"Customer Operations","2.7"
"Customer Operations","1.6"
"Customer Operations","1.4"
"Customer Operations","2.3"
"Customer Operations","3.9"
"Customer Operations","2.1"
"Customer Operations","1.7"
"Customer Operations","0.6"
"Customer Operations","1.2"
"Customer Operations","0.8"
"Customer Operations","1.4"
"Customer Operations","1.0"
"Customer Operations","2.8"
"Customer Operations","2.2"
"Finance","4.0"
"Finance","5.4"
"Finance","8.3"
"Finance","9.6"
"Finance","9.9"
"Finance","7.7"
"Finance","14.8"
"Finance","6.1"
"Finance","10.7"
"Finance","7.0"
"Finance","9.9"
"Finance","7.5"
"Finance","6.7"
"Finance","7.5"
"Finance","7.9"
"Finance","2.6"
"Finance","12.5"
"Finance","10.1"
"Finance","4.5"
"Finance","2.6"
"Finance","9.1"
"Finance","10.0"
"Finance","10.4"
"Finance","8.7"
"Finance","7.5"
"Finance","9.1"
"Finance","5.4"
"Finance","6.0"
"Finance","12.9"
"Finance","5.7"
"People & Culture","4.2"
"People & Culture","2.5"
"People & Culture","8.2"
"People & Culture","3.8"
"People & Culture","6.4"
"People & Culture","6.5"
"People & Culture","2.6"
"People & Culture","5.2"
"People & Culture","3.3"
"People & Culture","0.2"
"People & Culture","6.7"
"People & Culture","5.8"
"People & Culture","2.6"
"People & Culture","0.5"
"People & Culture","3.3"
"People & Culture","6.4"
"People & Culture","5.6"
"People & Culture","4.3"
"People & Culture","1.1"
"People & Culture","6.9"
"People & Culture","6.5"
"People & Culture","5.9"
"People & Culture","2.8"
"People & Culture","5.7"
"People & Culture","3.1"
"People & Culture","3.6"
"People & Culture","2.1"
"People & Culture","5.3"
"People & Culture","3.5"
"People & Culture","6.3"
