"east","north","altitude","glider","second"
"330.0","0.0","900.0","Alpha","0.0"
"327.59392845235783","39.77710448425661","907.0081682272388","Alpha","2.0"
"320.41079975059716","78.97416921489406","914.0163364544776","Alpha","4.0"
"308.5553600861869","117.01961272403676","921.02450468171628","Alpha","6.0"
"292.20048846555926","153.35864677444363","928.03267290895508","Alpha","8.0"
"271.5846757449066","187.4613664212814","935.04084113619388","Alpha","10.0"
"247.00854689646334","218.8304772194624","942.0490093634326","Alpha","12.0"
"218.8304772194624","247.00854689646334","949.0571775906714","Alpha","14.0"
"187.4613664212814","271.5846757449066","956.0653458179102","Alpha","16.0"
"153.35864677444366","292.20048846555926","963.073514045149","Alpha","18.0"
"117.01961272403673","308.5553600861869","970.0816822723878","Alpha","20.0"
"78.97416921489402","320.41079975059716","977.0898504996264","Alpha","22.0"
"39.77710448425659","327.59392845235783","984.0980187268652","Alpha","24.0"
"0.000000000000020206672185931328","330.0","991.106186954104","Alpha","26.0"
"-39.777104484256625","327.59392845235783","998.11435518134272","Alpha","28.0"
"-78.97416921489412","320.41079975059716","1005.1225234085815","Alpha","30.0"
"-117.01961272403678","308.5553600861869","1012.1306916358203","Alpha","32.0"
"-153.3586467744436","292.20048846555926","1019.1388598630591","Alpha","34.0"
"-187.46136642128138","271.58467574490663","1026.147028090298","Alpha","36.0"
"-218.8304772194625","247.00854689646332","1033.1551963175366","Alpha","38.0"
"-247.0085468964634","218.8304772194624","1040.1633645447755","Alpha","40.0"
"-271.5846757449066","187.4613664212814","1047.1715327720142","Alpha","42.0"
"-292.2004884655593","153.35864677444354","1054.1797009992529","Alpha","44.0"
"-308.5553600861869","117.0196127240367","1061.1878692264918","Alpha","46.0"
"-320.41079975059716","78.97416921489403","1068.1960374537305","Alpha","48.0"
"-327.59392845235783","39.77710448425662","1075.2042056809692","Alpha","50.0"
"-330.0","0.000000000000040413344371862656","1082.212373908208","Alpha","52.0"
"-327.59392845235783","-39.77710448425668","1089.2205421354467","Alpha","54.0"
"-320.41079975059716","-78.9741692148941","1096.2287103626854","Alpha","56.0"
"-308.5553600861869","-117.01961272403676","1103.2368785899243","Alpha","58.0"
"-292.2004884655592","-153.3586467744437","1110.245046817163","Alpha","60.0"
"-271.5846757449066","-187.4613664212815","1117.253215044402","Alpha","62.0"
"-247.00854689646332","-218.83047721946244","1124.2613832716406","Alpha","64.0"
"-218.8304772194624","-247.00854689646334","1131.2695514988793","Alpha","66.0"
"-187.46136642128147","-271.5846757449066","1138.2777197261182","Alpha","68.0"
"-153.35864677444354","-292.2004884655593","1145.285887953357","Alpha","70.0"
"-117.01961272403685","-308.55536008618685","1152.2940561805956","Alpha","72.0"
"-78.97416921489405","-320.41079975059716","1159.3022244078345","Alpha","74.0"
"-39.77710448425648","-327.59392845235783","1166.3103926350732","Alpha","76.0"
"-0.00000000000006062001655779397","-330.0","1173.318560862312","Alpha","78.0"
"39.777104484256654","-327.59392845235783","1180.3267290895508","Alpha","80.0"
"78.97416921489422","-320.4107997505971","1187.3348973167895","Alpha","82.0"
"117.01961272403673","-308.5553600861869","1194.3430655440284","Alpha","84.0"
"153.35864677444368","-292.20048846555926","1201.351233771267","Alpha","86.0"
"187.4613664212816","-271.58467574490646","1208.359401998506","Alpha","88.0"
"218.83047721946244","-247.00854689646334","1215.3675702257447","Alpha","90.0"
"247.00854689646343","-218.83047721946235","1222.3757384529833","Alpha","92.0"
"271.5846757449066","-187.46136642128147","1229.383906680222","Alpha","94.0"
"292.2004884655593","-153.35864677444357","1236.392074907461","Alpha","96.0"
"308.55536008618697","-117.01961272403659","1243.4002431346998","Alpha","98.0"
"320.41079975059716","-78.97416921489408","1250.4084113619385","Alpha","100.0"
"327.59392845235783","-39.77710448425651","1257.4165795891772","Alpha","102.0"
"330.0","-0.00000000000008082668874372531","1264.4247478164161","Alpha","104.0"
"327.59392845235783","39.77710448425664","1271.4329160436548","Alpha","106.0"
