"exporter","importer","billions"
"China","United States",500
"Mexico","United States",455
"Canada","United States",420
"United States","Mexico",320
"United States","Canada",355
"China","Japan",160
"China","Korea",150
"Korea","China",125
"China","Germany",105
"Germany","China",105
"Germany","France",120
"Germany","United States",160
"Germany","Poland",95
"Netherlands","Germany",140
"Germany","Netherlands",110
"China","Vietnam",140
"Korea","Vietnam",50
"Japan","United States",145
"Australia","China",105
"Brazil","China",105
"India","United States",80
"France","Spain",50
