"direction","bearing","speed","season"
"N","19.612260228954256","10.1","Winter"
"N","357.0494991913438","11.0","Winter"
"N","349.7097373288125","13.8","Winter"
"N","2.602499228902161","7.4","Winter"
"N","338.21071517653763","3.7","Summer"
"N","342.88403456658125","9.4","Summer"
"N","353.4657339332625","10.3","Summer"
"N","11.036263467743993","7.5","Summer"
"N","346.6151809906587","11.9","Summer"
"N","359.74756847973913","6.3","Winter"
"N","341.95518332440406","10.2","Winter"
"N","18.68877536803484","10.1","Winter"
"N","10.65614768769592","7.5","Winter"
"N","347.43056853301823","10.6","Summer"
"NE","28.67011944297701","8.9","Winter"
"NE","31.311013056896627","10.6","Summer"
"NE","32.17962394747883","6.6","Summer"
"NE","40.737888891249895","9.0","Winter"
"NE","31.231573704630136","11.0","Winter"
"NE","53.85838051326573","11.5","Winter"
"NE","38.0288352034986","14.0","Summer"
"NE","25.304894557222724","6.9","Winter"
"NE","32.249697969295084","13.0","Summer"
"NE","57.935567065142095","12.9","Winter"
"NE","44.32555351126939","11.3","Summer"
"NE","43.86197332665324","13.0","Winter"
"NE","32.40297071356326","12.0","Summer"
"NE","35.737157916650176","12.1","Summer"
"NE","23.109970800578594","10.2","Summer"
"NE","57.35352119803429","11.9","Summer"
"NE","46.332608345896006","12.7","Winter"
"NE","44.65689395181835","5.5","Summer"
"NE","38.67430313304067","8.5","Summer"
"NE","32.401056468486786","12.3","Winter"
"NE","28.251218407414854","7.2","Summer"
"NE","31.009476066567004","10.4","Summer"
"E","97.820660917088389","12.4","Winter"
"E","99.12182609084994","12.9","Summer"
"E","97.070972001180053","13.0","Winter"
"E","110.00676007196307","16.1","Summer"
"E","85.13432781305164","15.0","Summer"
"E","72.12198230437934","11.5","Summer"
"E","68.59697068855166","19.9","Winter"
"E","78.35149469505996","11.3","Winter"
"E","89.31772747542709","10.0","Summer"
"E","88.63132426701486","19.8","Winter"
"E","108.58336167037487","13.0","Winter"
"E","93.56750945467502","17.9","Winter"
"E","69.66536011639982","14.7","Summer"
"E","96.359894429333508","13.3","Summer"
"E","78.6650817533955","12.4","Summer"
"E","92.867307403124869","8.1","Summer"
"E","71.54378090891987","13.2","Summer"
"E","78.65926217380911","10.7","Summer"
"E","68.07474613003433","19.3","Winter"
"E","89.36356858164072","15.0","Summer"
"E","96.07475907355547","14.5","Winter"
