"lon","lat","country","continent","piece"
66.519,37.363,"Afghanistan","Asia","p001"
69.196,37.151,"Afghanistan","Asia","p001"
70.807,38.486,"Afghanistan","Asia","p001"
71.845,36.738,"Afghanistan","Asia","p001"
73.26,37.495,"Afghanistan","Asia","p001"
75.158,37.133,"Afghanistan","Asia","p001"
71.262,36.074,"Afghanistan","Asia","p001"
71.613,35.153,"Afghanistan","Asia","p001"
70.882,33.989,"Afghanistan","Asia","p001"
69.931,34.02,"Afghanistan","Asia","p001"
70.324,33.359,"Afghanistan","Asia","p001"
69.263,32.502,"Afghanistan","Asia","p001"
69.318,31.901,"Afghanistan","Asia","p001"
66.939,31.305,"Afghanistan","Asia","p001"
66.346,29.888,"Afghanistan","Asia","p001"
62.55,29.319,"Afghanistan","Asia","p001"
60.874,29.829,"Afghanistan","Asia","p001"
61.781,30.736,"Afghanistan","Asia","p001"
60.536,32.981,"Afghanistan","Asia","p001"
61.211,35.65,"Afghanistan","Asia","p001"
62.985,35.404,"Afghanistan","Asia","p001"
64.546,36.312,"Afghanistan","Asia","p001"
64.746,37.112,"Afghanistan","Asia","p001"
65.746,37.661,"Afghanistan","Asia","p001"
66.519,37.363,"Afghanistan","Asia","p001"
21.02,40.843,"Albania","Europe","p002"
20.15,39.625,"Albania","Europe","p002"
19.406,40.251,"Albania","Europe","p002"
19.304,42.196,"Albania","Europe","p002"
19.738,42.688,"Albania","Europe","p002"
20.523,42.218,"Albania","Europe","p002"
21.02,40.843,"Albania","Europe","p002"
-8.684,27.396,"Algeria","Africa","p003"
-8.674,28.841,"Algeria","Africa","p003"
-5.242,30.0,"Algeria","Africa","p003"
-3.69,30.897,"Algeria","Africa","p003"
-3.647,31.637,"Algeria","Africa","p003"
-1.308,32.263,"Algeria","Africa","p003"
-2.17,35.168,"Algeria","Africa","p003"
-1.209,35.715,"Algeria","Africa","p003"
1.467,36.606,"Algeria","Africa","p003"
8.421,36.946,"Algeria","Africa","p003"
8.141,34.655,"Algeria","Africa","p003"
7.524,34.097,"Algeria","Africa","p003"
7.613,33.344,"Algeria","Africa","p003"
9.056,32.103,"Algeria","Africa","p003"
9.806,29.425,"Algeria","Africa","p003"
9.319,26.094,"Algeria","Africa","p003"
10.304,24.379,"Algeria","Africa","p003"
10.771,24.563,"Algeria","Africa","p003"
12.0,23.472,"Algeria","Africa","p003"
5.678,19.601,"Algeria","Africa","p003"
3.158,19.057,"Algeria","Africa","p003"
3.147,19.694,"Algeria","Africa","p003"
-8.684,27.396,"Algeria","Africa","p003"
12.996,-4.781,"Angola","Africa","p004"
12.182,-5.79,"Angola","Africa","p004"
11.915,-5.038,"Angola","Africa","p004"
12.621,-4.438,"Angola","Africa","p004"
12.996,-4.781,"Angola","Africa","p004"
12.322,-6.1,"Angola","Africa","p005"
16.327,-5.877,"Angola","Africa","p005"
17.473,-8.069,"Angola","Africa","p005"
19.017,-7.988,"Angola","Africa","p005"
20.092,-6.943,"Angola","Africa","p005"
21.728,-7.291,"Angola","Africa","p005"
22.155,-11.085,"Angola","Africa","p005"
24.018,-11.237,"Angola","Africa","p005"
24.016,-12.911,"Angola","Africa","p005"
21.934,-12.898,"Angola","Africa","p005"
21.888,-16.08,"Angola","Africa","p005"
23.215,-17.523,"Angola","Africa","p005"
21.377,-17.931,"Angola","Africa","p005"
18.263,-17.31,"Angola","Africa","p005"
14.059,-17.423,"Angola","Africa","p005"
13.462,-16.971,"Angola","Africa","p005"
11.734,-17.302,"Angola","Africa","p005"
12.176,-14.449,"Angola","Africa","p005"
13.739,-11.298,"Angola","Africa","p005"
12.322,-6.1,"Angola","Africa","p005"
-68.634,-52.636,"Argentina","South America","p006"
-67.75,-53.85,"Argentina","South America","p006"
-65.05,-54.7,"Argentina","South America","p006"
-66.45,-55.25,"Argentina","South America","p006"
-68.633,-54.87,"Argentina","South America","p006"
-68.634,-52.636,"Argentina","South America","p006"
-57.625,-30.216,"Argentina","South America","p007"
-58.495,-34.431,"Argentina","South America","p007"
-57.226,-35.288,"Argentina","South America","p007"
-56.788,-36.902,"Argentina","South America","p007"
-57.749,-38.184,"Argentina","South America","p007"
-59.232,-38.72,"Argentina","South America","p007"
-62.336,-38.828,"Argentina","South America","p007"
-62.146,-40.677,"Argentina","South America","p007"
-62.746,-41.029,"Argentina","South America","p007"
-65.118,-41.064,"Argentina","South America","p007"
-64.979,-42.058,"Argentina","South America","p007"
-63.756,-42.044,"Argentina","South America","p007"
-63.458,-42.563,"Argentina","South America","p007"
-65.182,-43.495,"Argentina","South America","p007"
-65.565,-45.037,"Argentina","South America","p007"
-67.294,-45.552,"Argentina","South America","p007"
-67.581,-46.302,"Argentina","South America","p007"
-65.641,-47.236,"Argentina","South America","p007"
-65.985,-48.133,"Argentina","South America","p007"
-69.139,-50.733,"Argentina","South America","p007"
-68.15,-52.35,"Argentina","South America","p007"
-71.915,-52.009,"Argentina","South America","p007"
-72.31,-50.677,"Argentina","South America","p007"
-73.328,-50.379,"Argentina","South America","p007"
-73.415,-49.318,"Argentina","South America","p007"
-72.331,-48.244,"Argentina","South America","p007"
-71.659,-44.974,"Argentina","South America","p007"
-71.223,-44.784,"Argentina","South America","p007"
-72.149,-42.255,"Argentina","South America","p007"
-71.414,-38.916,"Argentina","South America","p007"
-70.815,-38.553,"Argentina","South America","p007"
-71.122,-36.658,"Argentina","South America","p007"
-70.365,-36.005,"Argentina","South America","p007"
-69.817,-34.194,"Argentina","South America","p007"
-70.535,-31.365,"Argentina","South America","p007"
-69.656,-28.459,"Argentina","South America","p007"
-68.296,-26.899,"Argentina","South America","p007"
-68.418,-24.519,"Argentina","South America","p007"
-67.328,-24.025,"Argentina","South America","p007"
-67.107,-22.736,"Argentina","South America","p007"
-66.273,-21.832,"Argentina","South America","p007"
-64.965,-22.076,"Argentina","South America","p007"
-64.377,-22.798,"Argentina","South America","p007"
-63.987,-21.994,"Argentina","South America","p007"
-62.846,-22.035,"Argentina","South America","p007"
-60.847,-23.881,"Argentina","South America","p007"
-57.777,-25.162,"Argentina","South America","p007"
-58.618,-27.124,"Argentina","South America","p007"
-55.696,-27.388,"Argentina","South America","p007"
-54.13,-25.548,"Argentina","South America","p007"
-53.649,-26.923,"Argentina","South America","p007"
-57.625,-30.216,"Argentina","South America","p007"
46.506,38.771,"Armenia","Asia","p008"
43.656,40.254,"Armenia","Asia","p008"
43.583,41.092,"Armenia","Asia","p008"
45.56,40.812,"Armenia","Asia","p008"
46.506,38.771,"Armenia","Asia","p008"
147.689,-40.808,"Australia","Oceania","p009"
148.289,-40.875,"Australia","Oceania","p009"
147.914,-43.212,"Australia","Oceania","p009"
146.048,-43.55,"Australia","Oceania","p009"
144.744,-40.704,"Australia","Oceania","p009"
146.364,-41.138,"Australia","Oceania","p009"
147.689,-40.808,"Australia","Oceania","p009"
126.149,-32.216,"Australia","Oceania","p010"
124.222,-32.959,"Australia","Oceania","p010"
123.66,-33.89,"Australia","Oceania","p010"
119.894,-33.976,"Australia","Oceania","p010"
118.025,-35.065,"Australia","Oceania","p010"
116.625,-35.025,"Australia","Oceania","p010"
115.027,-34.197,"Australia","Oceania","p010"
115.802,-32.205,"Australia","Oceania","p010"
113.339,-26.117,"Australia","Oceania","p010"
113.778,-26.549,"Australia","Oceania","p010"
113.441,-25.621,"Australia","Oceania","p010"
114.233,-26.298,"Australia","Oceania","p010"
113.394,-24.385,"Australia","Oceania","p010"
113.737,-22.475,"Australia","Oceania","p010"
114.15,-21.756,"Australia","Oceania","p010"
114.225,-22.517,"Australia","Oceania","p010"
116.712,-20.702,"Australia","Oceania","p010"
120.856,-19.684,"Australia","Oceania","p010"
123.013,-16.405,"Australia","Oceania","p010"
123.434,-17.269,"Australia","Oceania","p010"
123.859,-17.069,"Australia","Oceania","p010"
123.503,-16.597,"Australia","Oceania","p010"
123.817,-16.111,"Australia","Oceania","p010"
124.258,-16.328,"Australia","Oceania","p010"
125.686,-14.231,"Australia","Oceania","p010"
127.066,-13.818,"Australia","Oceania","p010"
128.36,-14.869,"Australia","Oceania","p010"
129.621,-14.97,"Australia","Oceania","p010"
129.41,-14.421,"Australia","Oceania","p010"
130.618,-12.536,"Australia","Oceania","p010"
132.575,-12.114,"Australia","Oceania","p010"
131.825,-11.274,"Australia","Oceania","p010"
132.357,-11.129,"Australia","Oceania","p010"
135.298,-12.249,"Australia","Oceania","p010"
136.492,-11.857,"Australia","Oceania","p010"
136.952,-12.352,"Australia","Oceania","p010"
135.962,-13.325,"Australia","Oceania","p010"
135.5,-14.998,"Australia","Oceania","p010"
140.215,-17.711,"Australia","Oceania","p010"
141.274,-16.389,"Australia","Oceania","p010"
141.687,-12.408,"Australia","Oceania","p010"
142.515,-10.668,"Australia","Oceania","p010"
143.922,-14.548,"Australia","Oceania","p010"
144.564,-14.171,"Australia","Oceania","p010"
145.375,-14.985,"Australia","Oceania","p010"
146.387,-18.958,"Australia","Oceania","p010"
148.848,-20.391,"Australia","Oceania","p010"
149.678,-22.343,"Australia","Oceania","p010"
150.727,-22.402,"Australia","Oceania","p010"
150.9,-23.462,"Australia","Oceania","p010"
152.855,-25.268,"Australia","Oceania","p010"
153.569,-28.11,"Australia","Oceania","p010"
152.892,-31.64,"Australia","Oceania","p010"
150.328,-35.672,"Australia","Oceania","p010"
149.997,-37.425,"Australia","Oceania","p010"
146.318,-39.036,"Australia","Oceania","p010"
144.877,-38.417,"Australia","Oceania","p010"
145.032,-37.896,"Australia","Oceania","p010"
143.61,-38.809,"Australia","Oceania","p010"
140.639,-38.019,"Australia","Oceania","p010"
139.574,-36.138,"Australia","Oceania","p010"
138.121,-35.612,"Australia","Oceania","p010"
138.208,-34.385,"Australia","Oceania","p010"
136.829,-35.261,"Australia","Oceania","p010"
137.89,-33.64,"Australia","Oceania","p010"
137.81,-32.9,"Australia","Oceania","p010"
135.989,-34.89,"Australia","Oceania","p010"
135.208,-34.479,"Australia","Oceania","p010"
134.274,-32.617,"Australia","Oceania","p010"
131.326,-31.496,"Australia","Oceania","p010"
126.149,-32.216,"Australia","Oceania","p010"
16.98,48.123,"Austria","Europe","p011"
16.012,46.684,"Austria","Europe","p011"
14.632,46.432,"Austria","Europe","p011"
12.153,47.115,"Austria","Europe","p011"
11.049,46.751,"Austria","Europe","p011"
9.48,47.103,"Austria","Europe","p011"
9.896,47.58,"Austria","Europe","p011"
12.933,47.468,"Austria","Europe","p011"
12.884,48.289,"Austria","Europe","p011"
13.596,48.877,"Austria","Europe","p011"
16.499,48.786,"Austria","Europe","p011"
16.98,48.123,"Austria","Europe","p011"
46.405,41.861,"Azerbaijan","Asia","p012"
47.816,41.151,"Azerbaijan","Asia","p012"
48.584,41.809,"Azerbaijan","Asia","p012"
50.393,40.257,"Azerbaijan","Asia","p012"
49.569,40.176,"Azerbaijan","Asia","p012"
48.883,38.32,"Azerbaijan","Asia","p012"
48.011,38.794,"Azerbaijan","Asia","p012"
48.06,39.582,"Azerbaijan","Asia","p012"
46.506,38.771,"Azerbaijan","Asia","p012"
46.483,39.464,"Azerbaijan","Asia","p012"
45.61,39.9,"Azerbaijan","Asia","p012"
45.892,40.218,"Azerbaijan","Asia","p012"
44.972,41.248,"Azerbaijan","Asia","p012"
46.502,41.064,"Azerbaijan","Asia","p012"
46.405,41.861,"Azerbaijan","Asia","p012"
46.144,38.741,"Azerbaijan","Asia","p013"
44.794,39.713,"Azerbaijan","Asia","p013"
45.74,39.474,"Azerbaijan","Asia","p013"
46.144,38.741,"Azerbaijan","Asia","p013"
-78.98,26.79,"Bahamas","North America","p014"
-77.82,26.58,"Bahamas","North America","p014"
-78.91,26.42,"Bahamas","North America","p014"
-78.98,26.79,"Bahamas","North America","p014"
-77.79,27.04,"Bahamas","North America","p015"
-77.0,26.59,"Bahamas","North America","p015"
-77.173,25.879,"Bahamas","North America","p015"
-77.79,27.04,"Bahamas","North America","p015"
-78.191,25.21,"Bahamas","North America","p016"
-77.535,23.76,"Bahamas","North America","p016"
-78.408,24.576,"Bahamas","North America","p016"
-78.191,25.21,"Bahamas","North America","p016"
92.673,22.041,"Bangladesh","Asia","p017"
92.369,20.671,"Bangladesh","Asia","p017"
91.417,22.765,"Bangladesh","Asia","p017"
90.496,22.805,"Bangladesh","Asia","p017"
90.273,21.836,"Bangladesh","Asia","p017"
89.032,22.056,"Bangladesh","Asia","p017"
88.7,24.234,"Bangladesh","Asia","p017"
88.084,24.502,"Bangladesh","Asia","p017"
88.932,25.239,"Bangladesh","Asia","p017"
88.21,25.768,"Bangladesh","Asia","p017"
88.563,26.447,"Bangladesh","Asia","p017"
89.832,25.965,"Bangladesh","Asia","p017"
89.921,25.27,"Bangladesh","Asia","p017"
92.376,24.977,"Bangladesh","Asia","p017"
91.159,23.504,"Bangladesh","Asia","p017"
91.706,22.985,"Bangladesh","Asia","p017"
92.146,23.627,"Bangladesh","Asia","p017"
92.673,22.041,"Bangladesh","Asia","p017"
28.177,56.169,"Belarus","Europe","p018"
30.874,55.551,"Belarus","Europe","p018"
30.758,54.812,"Belarus","Europe","p018"
32.694,53.351,"Belarus","Europe","p018"
